what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1426787824558
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1426787829893
started,bundle,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui",1426787830049
opened,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1426787833606
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ResourceNavigator",1426787840704
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1426787907300
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1426787911200
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426787912869
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426787996355
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ResourceNavigator",1426787997775
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1426787998586
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1426788003740
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1426788013351
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788013881
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788081811
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ResourceNavigator",1426788083634
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1426788084245
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1426788087288
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1426788091722
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788092191
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788234851
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ResourceNavigator",1426788237502
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1426788238374
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1426788244919
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1426788244941
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1426788244942
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ResourceNavigator",1426788246051
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1426788246051
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788252792
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788254237
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788254815
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788254846
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1426788264065
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788271179
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788273035
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1426788273129
started,bundle,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui",1426788273129
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788273160
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788273862
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1426788273862
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788284627
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1426788289463
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788290134
started,bundle,org.eclipse.wst.ws.service.policy,1.0.103.v200905151848,"org.eclipse.wst.ws.service.policy",1426788293925
started,bundle,org.eclipse.wst.command.env,1.0.408.v200903110045,"org.eclipse.wst.command.env",1426788294003
started,bundle,org.eclipse.wst.ws,1.1.103.v200903111822,"org.eclipse.wst.ws",1426788294003
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788294096
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788309478
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788309759
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788311491
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788324641
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788325499
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788326077
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788326108
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788327543
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788328136
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1426788344563
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788354500
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788355919
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788356153
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788357089
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1426788357089
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788365779
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788371769
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1426788373142
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788378508
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1426788381269
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788381706
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788387353
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788396760
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788397041
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788397977
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788409131
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1426788412594
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788413062
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788417555
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788427586
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788427882
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788428990
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788528955
started,bundle,org.eclipse.wst.common.project.facet.ui,1.4.1.v200908111817,"org.eclipse.wst.common.project.facet.ui",1426788536708
started,bundle,org.eclipse.wst.web.ui,1.1.301.v201001252130,"org.eclipse.wst.web.ui",1426788536708
started,bundle,org.eclipse.jst.servlet.ui,1.1.301.v200908101600,"org.eclipse.jst.servlet.ui",1426788536724
started,bundle,org.eclipse.jst.j2ee.ui,1.1.301.v201001252130,"org.eclipse.jst.j2ee.ui",1426788536864
started,bundle,org.eclipse.jst.common.project.facet.ui,1.4.1.v200912011928,"org.eclipse.jst.common.project.facet.ui",1426788537005
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.301.v201001252130,"org.eclipse.jst.j2ee.ejb",1426788545787
started,bundle,org.eclipse.jst.j2ee.jca,1.1.301.v201001252130,"org.eclipse.jst.j2ee.jca",1426788545787
started,bundle,org.eclipse.jst.jee.ejb,1.0.201.v201002021057,"org.eclipse.jst.jee.ejb",1426788545787
started,bundle,org.eclipse.jst.jee.web,1.0.201.v201002031231,"org.eclipse.jst.jee.web",1426788545787
started,bundle,org.eclipse.xsd,2.5.0.v200906151043,"org.eclipse.xsd",1426788545881
started,bundle,org.eclipse.wst.common.uriresolver,1.1.301.v200805140415,"org.eclipse.wst.common.uriresolver",1426788546848
started,bundle,org.eclipse.wst.internet.cache,1.0.301.v200805140020,"org.eclipse.wst.internet.cache",1426788547238
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788549251
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.301.v201001252130,"org.eclipse.jst.j2ee.J2EEPerspective",1426788549313
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.newWizard",1426788549453
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788562214
started,bundle,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.ui",1426788568860
started,bundle,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui",1426788569000
started,bundle,org.eclipse.wst.html.core,1.1.300.v200903120608,"org.eclipse.wst.html.core",1426788569078
started,bundle,org.eclipse.wst.css.core,1.1.301.v200910161432,"org.eclipse.wst.css.core",1426788569219
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.web.ui",1426788569265
started,bundle,org.eclipse.jst.jsf.ui,1.2.3.v201001271707,"org.eclipse.jst.jsf.ui",1426788569281
started,bundle,org.eclipse.wst.css.ui,1.0.401.v200907171457,"org.eclipse.wst.css.ui",1426788569297
started,bundle,org.eclipse.wst.dtd.ui,1.0.400.v200904300717,"org.eclipse.wst.dtd.ui",1426788569406
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788577767
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.newWizard",1426788577767
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1426788577908
started,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.200.v200904140255,"org.eclipse.wst.jsdt.web.support.jsp",1426788577970
opened,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1426788578251
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1426788578407
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1426788578501
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1426788584366
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788586987
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788587003
started,bundle,org.eclipse.jst.jee.ui,1.0.201.v201002021208,"org.eclipse.jst.jee.ui",1426788591012
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788591261
started,bundle,org.eclipse.jst.server.generic.core,1.0.506.v20090817,"org.eclipse.jst.server.generic.core",1426788591386
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.0.v20090311b,"org.eclipse.jst.server.preview.adapter",1426788591402
started,bundle,org.eclipse.ui.navigator,3.4.2.M20100120-0800,"org.eclipse.ui.navigator",1426788592650
opened,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1426788593196
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1426788593352
executed,command,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.launchShortcut.run",1426788593399
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.102.v20090424,"org.eclipse.jst.server.tomcat.ui",1426788593492
