what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858503388
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858504558
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858505182
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858505213
opened,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1419858506586
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1419858506617
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ResourceNavigator",1419858507975
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858510408
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858512124
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858512733
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858512764
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1419858516586
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858520735
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858522264
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858522327
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858522919
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1419858522919
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1419858537037
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1419858537131
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1419858547864
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ResourceNavigator",1419858549486
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858553168
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858556927
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858560266
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858562247
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858564899
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1419858568472
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858568955
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858570219
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858583732
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858590628
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858591829
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1419858591860
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1419858595604
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1419858595729
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858598787
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858608740
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ResourceNavigator",1419858610082
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1419858610753
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1419858613358
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ResourceNavigator",1419858615323
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858625651
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858626462
executed,command,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1419858626462
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1419858642982
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1419858645525
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1419858647912
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1419858648427
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858649612
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858683389
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ResourceNavigator",1419858685058
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1419858686884
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1419858690830
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1419858691907
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1419858691907
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858696072
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858697164
executed,command,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.launchShortcut.run",1419858697164
opened,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1419858699958
activated,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1419858699989
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1419858716485
closed,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1419858716485
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ResourceNavigator",1419858718092
closed,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1419858719855
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1419858721633
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1419858721775
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ResourceNavigator",1419858723335
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858726595
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858727718
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858728186
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858729138
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858729403
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858731025
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858732804
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858734910
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858735191
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858755923
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858759527
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858773941
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858776656
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858778200
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858778200
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858800748
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858805257
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858806395
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858818704
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858819359
executed,command,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1419858819359
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858826426
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858828625
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858829203
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858829265
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1419858834413
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1419858834647
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1419858834834
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1419858835099
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1419858835318
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858837814
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858838843
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1419858839077
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858845785
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858847033
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858847689
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858847704
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1419858851745
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1419858852291
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1419858852540
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858855879
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858857127
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858857860
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858857875
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1419858857875
opened,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1419858865129
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1419858865145
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858868483
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419858869373
executed,command,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.launchShortcut.run",1419858869388
opened,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1419858872572
activated,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1419858872603
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1419858883590
