what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1425885786059
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1425885787894
executed,command,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.launchShortcut.run",1425885787908
opened,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1425885793267
activated,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1425885793300
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ResourceNavigator",1425885797358
activated,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1425885801391
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1425885804964
closed,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1425885804964
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ResourceNavigator",1425885814999
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1425885816057
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1425885821270
executed,command,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.stop",1425885823223
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1425885823694
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1425885824682
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1425885838913
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1425885839432
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1425885842335
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1425885842710
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1425885845462
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1425885845860
